,seriesID,year,period,value
0,CES0000000001,2024,M11,159288.0
1,CES0000000001,2024,M10,159061.0
2,CES0000000001,2024,M09,159025.0
3,CES0000000001,2024,M08,158770.0
4,CES0000000001,2024,M07,158692.0
5,CES0000000001,2024,M06,158548.0
6,CES0000000001,2024,M05,158430.0
7,CES0000000001,2024,M04,158214.0
8,CES0000000001,2024,M03,158106.0
9,CES0000000001,2024,M02,157796.0
10,CES0000000001,2024,M01,157560.0
11,CES0000000001,2023,M12,157304.0
12,CES0000000001,2023,M11,157014.0
13,CES0000000001,2023,M10,156832.0
14,CES0000000001,2023,M09,156667.0
15,CES0000000001,2023,M08,156421.0
16,CES0000000001,2023,M07,156211.0
17,CES0000000001,2023,M06,156027.0
18,CES0000000001,2023,M05,155787.0
19,CES0000000001,2023,M04,155484.0
20,CES0000000001,2023,M03,155206.0
21,CES0000000001,2023,M02,155060.0
22,CES0000000001,2023,M01,154773.0
23,CES0000000001,2022,M12,154291.0
24,CES0000000001,2022,M11,154155.0
25,CES0000000001,2022,M10,153897.0
26,CES0000000001,2022,M09,153536.0
27,CES0000000001,2022,M08,153281.0
28,CES0000000001,2022,M07,153038.0
29,CES0000000001,2022,M06,152348.0
30,CES0000000001,2022,M05,151928.0
31,CES0000000001,2022,M04,151642.0
32,CES0000000001,2022,M03,151370.0
33,CES0000000001,2022,M02,150876.0
34,CES0000000001,2022,M01,150014.0
35,LNS14000000,2024,M11,4.2
36,LNS14000000,2024,M10,4.1
37,LNS14000000,2024,M09,4.1
38,LNS14000000,2024,M08,4.2
39,LNS14000000,2024,M07,4.3
40,LNS14000000,2024,M06,4.1
41,LNS14000000,2024,M05,4.0
42,LNS14000000,2024,M04,3.9
43,LNS14000000,2024,M03,3.8
44,LNS14000000,2024,M02,3.9
45,LNS14000000,2024,M01,3.7
46,LNS14000000,2023,M12,3.7
47,LNS14000000,2023,M11,3.7
48,LNS14000000,2023,M10,3.8
49,LNS14000000,2023,M09,3.8
50,LNS14000000,2023,M08,3.8
51,LNS14000000,2023,M07,3.5
52,LNS14000000,2023,M06,3.6
53,LNS14000000,2023,M05,3.7
54,LNS14000000,2023,M04,3.4
55,LNS14000000,2023,M03,3.5
56,LNS14000000,2023,M02,3.6
57,LNS14000000,2023,M01,3.4
58,LNS14000000,2022,M12,3.5
59,LNS14000000,2022,M11,3.6
60,LNS14000000,2022,M10,3.6
61,LNS14000000,2022,M09,3.5
62,LNS14000000,2022,M08,3.6
63,LNS14000000,2022,M07,3.5
64,LNS14000000,2022,M06,3.6
65,LNS14000000,2022,M05,3.6
66,LNS14000000,2022,M04,3.7
67,LNS14000000,2022,M03,3.6
68,LNS14000000,2022,M02,3.8
69,LNS14000000,2022,M01,4.0
70,CES0500000003,2024,M11,35.61
71,CES0500000003,2024,M10,35.48
72,CES0500000003,2024,M09,35.33
73,CES0500000003,2024,M08,35.22
74,CES0500000003,2024,M07,35.07
75,CES0500000003,2024,M06,34.99
76,CES0500000003,2024,M05,34.88
77,CES0500000003,2024,M04,34.75
78,CES0500000003,2024,M03,34.69
79,CES0500000003,2024,M02,34.56
80,CES0500000003,2024,M01,34.51
81,CES0500000003,2023,M12,34.34
82,CES0500000003,2023,M11,34.23
83,CES0500000003,2023,M10,34.1
84,CES0500000003,2023,M09,34.01
85,CES0500000003,2023,M08,33.91
86,CES0500000003,2023,M07,33.84
87,CES0500000003,2023,M06,33.7
88,CES0500000003,2023,M05,33.54
89,CES0500000003,2023,M04,33.44
90,CES0500000003,2023,M03,33.31
91,CES0500000003,2023,M02,33.15
92,CES0500000003,2023,M01,33.07
93,CES0500000003,2022,M12,32.94
94,CES0500000003,2022,M11,32.83
95,CES0500000003,2022,M10,32.7
96,CES0500000003,2022,M09,32.54
97,CES0500000003,2022,M08,32.44
98,CES0500000003,2022,M07,32.33
99,CES0500000003,2022,M06,32.2
100,CES0500000003,2022,M05,32.08
101,CES0500000003,2022,M04,31.95
102,CES0500000003,2022,M03,31.84
103,CES0500000003,2022,M02,31.65
104,CES0500000003,2022,M01,31.63
105,LNS11000000,2024,M11,168286.0
106,LNS11000000,2024,M10,168479.0
107,LNS11000000,2024,M09,168699.0
108,LNS11000000,2024,M08,168549.0
109,LNS11000000,2024,M07,168429.0
110,LNS11000000,2024,M06,168009.0
111,LNS11000000,2024,M05,167732.0
112,LNS11000000,2024,M04,167982.0
113,LNS11000000,2024,M03,167895.0
114,LNS11000000,2024,M02,167426.0
115,LNS11000000,2024,M01,167276.0
116,LNS11000000,2023,M12,167451.0
117,LNS11000000,2023,M11,168127.0
118,LNS11000000,2023,M10,167723.0
119,LNS11000000,2023,M09,167897.0
120,LNS11000000,2023,M08,167840.0
121,LNS11000000,2023,M07,167113.0
122,LNS11000000,2023,M06,167000.0
123,LNS11000000,2023,M05,166823.0
124,LNS11000000,2023,M04,166678.0
125,LNS11000000,2023,M03,166690.0
126,LNS11000000,2023,M02,166263.0
127,LNS11000000,2023,M01,165871.0
128,LNS11000000,2022,M12,164998.0
129,LNS11000000,2022,M11,164441.0
130,LNS11000000,2022,M10,164679.0
131,LNS11000000,2022,M09,164649.0
132,LNS11000000,2022,M08,164741.0
133,LNS11000000,2022,M07,164065.0
134,LNS11000000,2022,M06,164100.0
135,LNS11000000,2022,M05,164280.0
136,LNS11000000,2022,M04,163922.0
137,LNS11000000,2022,M03,164212.0
138,LNS11000000,2022,M02,163807.0
139,LNS11000000,2022,M01,163615.0
140,CES0000000001,2025,M01,159069
141,CES0000000001,2024,M12,158926
142,LNS14000000,2025,M01,4.0
143,LNS14000000,2024,M12,4.1
144,CES0500000003,2025,M01,35.87
145,CES0500000003,2024,M12,35.70
146,LNS11000000,2025,M01,170744
147,LNS11000000,2024,M12,168547
